Designator,Mid X,Mid Y,Layer,Rotation
C1,142,-77.5,T,180
C2,131.6,-94.3,T,180
C3,129.2,-90.5,T,-90
C4,129.7,-84.1,T,90
C5,142.2,-83.1,T,-90
C6,131,-97.4,T,180
C7,144.2,-95.4,T,0
C8,143.6,-97.7,T,0
C9,140.3,-101.5,T,-90
C10,142.9,-98.9,T,0
C11,136.7,-101.4,T,-90
C12,131.4,-96.4,T,180
C13,136.7,-90.8,T,180
C14,142,-100.3,T,0
C15,146.3,-95.5,T,0
C16,139.5,-91.3,T,180
C17,143.1,-75.42,T,-90
C18,147.9,-73.32,T,-90
C19,150,-92.6,T,180
C20,148.8,-96.2,T,-90
C21,149.5,-72.725,T,-90
D1,124.9,-80.6,T,0
D2,151.3,-72.7,T,-90
F1,126.2,-85.55,T,90
J1,158.1,-72.9,T,90
J4,159,-96.5,T,90
J5,117.5,-95.65,T,-90
J7,130,-102.025,T,0
Q1,123.5625,-101.6,T,180
R1,143.5,-83.2,T,90
R3,146.9,-96.5,T,180
R4,145.6,-97.5,T,180
R5,131.4,-95.4,T,180
R6,150.35,-75.65,T,180
R8,150.4,-99.875,T,-90
R9,149.7,-93.8,T,180
R11,124,-90.15,T,0
R12,124,-93.55,T,0
R13,123.9,-92.05,T,180
R14,124.7,-94.65,T,180
R15,124,-96.3,T,0
R16,124.5,-97.65,T,180
R17,123.99,-99.15,T,0
R18,146.7,-81.09,T,-90
SW1,160.4,-85.6,T,-90
U1,147.05,-76.05,T,180
U2,145.7,-87.2,T,0
U3,137.7,-95.9,T,-90
U4,135.3,-82.3,T,180
Y1,131.7,-91.5,T,90
